2023-12-09 13:59:57.756178,192.168.254.182,sysName.0,vmulgund-macbookpro
2023-12-09 13:59:57.757135,192.168.254.182,sysUpTime.0,121183
2023-12-09 13:59:57.767049,192.168.254.182,sysName.0,HP-Ananya
2023-12-09 13:59:57.776504,192.168.254.182,sysUpTime.0,87323
2023-12-09 14:00:02.797971,192.168.254.182,sysName.0,vmulgund-macbookpro
2023-12-09 14:00:02.800079,192.168.254.182,sysUpTime.0,121688
2023-12-09 14:00:02.810972,192.168.254.182,sysName.0,HP-Ananya
2023-12-09 14:00:02.819905,192.168.254.182,sysUpTime.0,87827
2023-12-09 14:00:07.842533,192.168.254.182,sysName.0,vmulgund-macbookpro
2023-12-09 14:00:07.844276,192.168.254.182,sysUpTime.0,122192
2023-12-09 14:00:07.854935,192.168.254.182,sysName.0,HP-Ananya
2023-12-09 14:00:07.862641,192.168.254.182,sysUpTime.0,88332
2023-12-09 14:00:12.877388,192.168.254.182,sysName.0,vmulgund-macbookpro
2023-12-09 14:00:12.879115,192.168.254.182,sysUpTime.0,122695
2023-12-09 14:00:12.890312,192.168.254.182,sysName.0,HP-Ananya
2023-12-09 14:00:12.899008,192.168.254.182,sysUpTime.0,88835
2023-12-09 14:00:17.913103,192.168.254.182,sysName.0,vmulgund-macbookpro
2023-12-09 14:00:17.915013,192.168.254.182,sysUpTime.0,123199
2023-12-09 14:00:17.924083,192.168.254.182,sysName.0,HP-Ananya
2023-12-09 14:00:17.931360,192.168.254.182,sysUpTime.0,89338
2023-12-09 14:00:22.954841,192.168.254.182,sysName.0,vmulgund-macbookpro
2023-12-09 14:00:22.956610,192.168.254.182,sysUpTime.0,123703
2023-12-09 14:00:22.974402,192.168.254.182,sysName.0,HP-Ananya
2023-12-09 14:00:22.984857,192.168.254.182,sysUpTime.0,89844
